acidgreen	0x8ffe09
adobe	0xbd6c48
algae	0x54ac68
algaegreen	0x21c36f
almostblack	0x070d0d
amber	0xfeb308
amethyst	0x9b5fc0
apple	0x6ecb3c
applegreen	0x76cd26
apricot	0xffb16d
aqua	0x13eac9
aquablue	0x02d8e9
aquagreen	0x12e193
aquamarine	0x2ee8bb
armygreen	0x4b5d16
asparagus	0x77ab56
aubergine	0x3d0734
auburn	0x9a3001
avocado	0x90b134
avocadogreen	0x87a922
azul	0x1d5dec
azure	0x069af3
babyblue	0xa2cffe
babygreen	0x8cff9e
babypink	0xffb7ce
babypoo	0xab9004
babypoop	0x937c00
babypoopgreen	0x8f9805
babypukegreen	0xb6c406
babypurple	0xca9bf7
babyshitbrown	0xad900d
babyshitgreen	0x889717
banana	0xffff7e
bananayellow	0xfafe4b
barbiepink	0xfe46a5
barfgreen	0x94ac02
barney	0xac1db8
barneypurple	0xa00498
battleshipgrey	0x6b7c85
beige	0xe6daa6
berry	0x990f4b
bile	0xb5c306
black	0x000000
bland	0xafa88b
blood	0x770001
bloodorange	0xfe4b03
bloodred	0x980002
blue	0x0343df
bluegreen	0x0f9b8e
bluegrey	0x758da3
bluepurple	0x5a06ef
blueberry	0x464196
blueblue	0x2242c7
blueviolet	0x5d06e9
bluewithahintofpurple	0x533cc6
blueygreen	0x2bb179
blueygrey	0x89a0b0
blueypurple	0x6241c7
bluish	0x2976bb
bluishgreen	0x10a674
bluishgrey	0x748b97
bluishpurple	0x703be7
blurple	0x5539cc
blush	0xf29e8e
blushpink	0xfe828c
booger	0x9bb53c
boogergreen	0x96b403
bordeaux	0x7b002c
boringgreen	0x63b365
bottlegreen	0x044a05
brick	0xa03623
brickorange	0xc14a09
brickred	0x8f1402
brightaqua	0x0bf9ea
brightblue	0x0165fc
brightcyan	0x41fdfe
brightgreen	0x01ff07
brightlavender	0xc760ff
brightlightblue	0x26f7fd
brightlightgreen	0x2dfe54
brightlilac	0xc95efb
brightlime	0x87fd05
brightlimegreen	0x65fe08
brightmagenta	0xff08e8
brightolive	0x9cbb04
brightorange	0xff5b00
brightpink	0xfe01b1
brightpurple	0xbe03fd
brightred	0xff000d
brightseagreen	0x05ffa6
brightskyblue	0x02ccfe
brightteal	0x01f9c6
brightturquoise	0x0ffef9
brightviolet	0xad0afd
brightyellow	0xfffd01
brightyellowgreen	0x9dff00
britishracinggreen	0x05480d
bronze	0xa87900
brown	0x653700
browngreen	0x706c11
browngrey	0x8d8468
brownish	0x9c6d57
brownishgreen	0x6a6e09
brownishgrey	0x86775f
brownishorange	0xcb7723
brownishpink	0xc27e79
brownishpurple	0x76424e
brownishred	0x9e3623
brownishyellow	0xc9b003
brownorange	0xb96902
brownred	0x922b05
brownyellow	0xb29705
brownygreen	0x6f6c0a
brownyorange	0xca6b02
bruise	0x7e4071
bubblegum	0xff6cb5
bubblegumpink	0xff69af
buff	0xfef69e
burgundy	0x610023
burntorange	0xc04e01
burntred	0x9f2305
burntsiena	0xb75203
burntsienna	0xb04e0f
burntumber	0xa0450e
burntyellow	0xd5ab09
burple	0x6832e3
butter	0xffff81
butterscotch	0xfdb147
butteryellow	0xfffd74
cadetblue	0x4e7496
camel	0xc69f59
camo	0x7f8f4e
camogreen	0x526525
camouflagegreen	0x4b6113
canary	0xfdff63
canaryyellow	0xfffe40
candypink	0xff63e9
caramel	0xaf6f09
carmine	0x9d0216
carnation	0xfd798f
carnationpink	0xff7fa7
carolinablue	0x8ab8fe
celadon	0xbefdb7
celery	0xc1fd95
cement	0xa5a391
cerise	0xde0c62
cerulean	0x0485d1
